"1" "2" "3" "4" "5" "6"
"1983" 0.00328488353642396 0.0497740240748696 0.301894599025259 0.323058069429542 0.748154179377625 0.847311326661681
"1984" 0.0059363743994123 0.0209221627391927 0.144516716948387 0.466051732380919 0.6666374082108 0.793391219022955
"1985" 0.00339199760349119 0.0504684986510731 0.154507634671616 0.484409317790995 0.55871946704601 0.83924357436942
"1986" 0.00233313554951244 0.176715957892406 0.158842874273295 0.20460065189173 0.466631816195082 0.80480128745848
"1987" 0.00599645616080333 0.0299393129184522 0.28788588016183 0.540951057953492 0.789860687385834 0.820344902301254
"1988" 0.0034783463413514 0.0430766566415408 0.201075182781856 0.479788035809846 0.601518263025087 0.828396848707243
"1989" 0.160647318511697 0.301198859128008 0.319347356129818 0.604545182579673 0.85452639980262 0.78855076747526
"1990" 0.0036801527699079 0.115391903452233 0.229611272439491 0.575861292938942 0.769007796849185 0.732323827127188
"1991" 0.00593292711152772 0.0953692619137768 0.397290574766504 0.357435892057318 0.818582283768683 0.911333038870137
"1992" 0.00743403160835502 0.344139214516997 0.631798972963531 0.81820120941597 0.922501838420909 0.94845264788899
"1993" 0.0121858905574124 0.139174320072582 0.750255876197368 0.895775504282912 0.912838907334791 0.959501885069803
"1994" 0.0108917680121856 0.232793525656022 0.698869873874395 0.863249209395895 0.960902345350146 0.968237253826184
"1995" 0.0102822209413226 0.0854332951784627 0.412833941663034 0.848064940606201 0.92684547594038 0.938323513854655
"1996" 0.0133465573375844 0.188073571840868 0.541381889490839 0.86882749665115 0.956680520760221 0.95544394948991
"1997" 0.00941928302146181 0.256991584068981 0.787077230592932 0.928766927945936 0.961481503238498 0.916091189618889
"1998" 0.0106835905193221 0.167774785128872 0.679745976694303 0.816872421042365 0.949094117970575 0.78771727352512
"1999" 0.0528467737791623 0.537344716357469 0.474690180169343 0.874087601729362 0.961936385987298 0.970874779450903
"2000" 0.040025132327259 0.360133443495021 0.856794026596082 0.817202313545071 0.963474576515608 0.971529186130311
"2001" 0.0112060183391906 0.256823383970648 0.638261628433153 0.790490739850734 0.745218113048157 0.941663122380455
"2002" 0.03143543377465 0.324471530484256 0.651486001119514 0.917030163955498 0.954152905755662 0.967638774578381
"2003" 0.043624106856335 0.293983858210779 0.610528297188967 0.87625308771182 0.957873040911624 0.966089069832432
"2004" 0.00762840838735538 0.403741235860398 0.761948775706138 0.916651209641906 0.959260868661641 0.959596462467107
"2005" 0.0139292661580833 0.401435766047124 0.768676875903772 0.790654862911881 0.909496837757527 0.95727972623268
"2006" 0.0284861313278403 0.595868284967738 0.88968088998332 0.8708281251234 0.964898290194709 0.97502850553108
"2007" 0.0172538440902457 0.257869539223388 0.771432666998766 0.923653052808727 0.94571123349003 0.961404629060337
"2008" 0.0162535555521154 0.524606604284043 0.598810746684828 0.925853017545069 0.957489997190103 0.963133938176215
"2009" 0.0100231706010893 0.28178078882472 0.753601518045823 0.876519129194396 0.86077333829162 0.94384021254594
"2010" 0.00589332453611436 0.355142604885854 0.785408738835408 0.897414894809382 0.958848764939799 0.960532346561427
"2011" 0.021830238306975 0.229598653292514 0.676352957462837 0.86460621850878 0.962647435427107 0.946074683394399
"2012" 0.0197664639245553 0.440095008384833 0.565723089247092 0.813955071464236 0.915862781464165 0.812700315244369
"2013" 0.0327210097430869 0.420433817137951 0.707743448232837 0.849468797031073 0.928278836938829 0.966200753978071
"2014" 0.0469651968021886 0.21496331292438 0.597903631984623 0.866466870280622 0.875818485184948 0.953824727163286
"2015" 0.0252710207561447 0.348514801069373 0.524836322554303 0.766057360249638 0.80096158483206 0.878422663905465
"2016" 0.00697674202558547 0.348292714070529 0.465847883696593 0.717494705362586 0.93438760826953 0.88482634086322
"2017" 0.016839416179583 0.398804861097312 0.613373663132656 0.781687537186243 0.816093956925845 0.92916222990507
"2018" 0.00785078851840532 0.25638498695547 0.663204279832161 0.685005366102901 0.915917824462598 0.8311295820142
"2019" 0.0285215259022168 0.468401849911896 0.690152354995498 0.90520533423866 0.946008565618933 0.970621290908487
"2020" 0.0573183342904264 0.249289019320055 0.829625684612794 0.880279197484758 0.962793133950378 0.971169121555092
"2021" 0.0240942327921048 0.32292982516139 0.512961071829957 0.834524877626035 0.848027974181079 0.951520104945787
"2022" 0.132615500698642 0.377013014497918 0.68154733546725 0.775415522530383 0.909695494944258 0.954631301419011
